user_id,item_id,user_idx,item_idx
18,26,17,25
308,649,307,636
191,302,190,299
200,96,199,95
16,197,15,194
271,199,270,196
142,169,141,166
207,258,206,255
177,333,176,329
271,378,270,374
305,425,304,420
191,286,190,283
21,558,20,548
197,96,196,95
234,206,233,203
308,402,307,398
308,640,307,627
269,522,268,513
94,265,93,262
272,12,271,11
296,20,295,19
180,462,179,453
7,163,6,160
13,186,12,183
178,731,177,717
256,781,255,766
263,176,262,173
279,1181,278,1140
43,815,42,797
151,197,150,194
249,188,248,185
144,699,143,685
301,604,300,591
222,97,221,96
293,135,292,132
213,173,212,170
13,498,12,489
59,715,58,701
5,17,4,16
125,163,124,160
174,315,173,311
213,515,212,506
128,15,127,14
239,56,238,55
291,80,290,79
250,238,249,235
60,60,59,59
287,1,286,0
216,531,215,522
203,471,202,462
213,176,212,173
286,288,285,285
295,194,294,191
250,596,249,585
137,144,136,141
257,137,256,134
111,328,110,324
91,480,90,471
215,211,214,208
189,1060,188,1030
1,20,0,19
303,404,302,400
187,210,186,207
214,568,213,558
285,191,284,188
96,156,95,153
115,1067,114,1037
73,480,72,471
269,246,268,243
263,419,262,415
221,475,220,466
72,182,71,179
25,357,24,353
290,50,289,49
189,526,188,517
200,365,199,361
187,135,186,132
184,187,183,184
13,229,12,226
235,185,234,182
62,712,61,698
54,742,53,728
92,168,91,165
307,174,306,171
303,200,302,197
117,150,116,147
224,77,223,76
254,229,253,226
64,381,63,377
45,25,44,24
276,922,275,895
234,187,233,184
264,721,263,707
10,611,9,598
308,427,307,422
221,943,220,916
131,126,130,123
230,680,229,666
192,1061,191,1031
90,900,89,876
193,941,192,914
128,603,127,590
244,265,243,262
119,382,118,378
231,181,230,178
301,33,300,32
94,744,93,730
130,642,129,629
56,121,55,118
62,12,61,11
178,845,177,826
217,597,216,586
79,303,78,300
138,484,137,475
308,81,307,80
269,198,268,195
13,864,12,841
230,742,229,728
269,507,268,498
239,1099,238,1064
245,1028,244,998
295,961,294,933
10,7,9,6
279,399,278,395
6,98,5,97
243,1039,242,1009
298,181,297,178
118,200,117,197
283,1114,282,1079
171,292,170,289
70,217,69,214
10,100,9,99
245,181,244,178
276,70,275,69
189,56,188,55
226,242,225,239
62,1016,61,986
276,417,275,413
214,478,213,469
306,235,305,232
280,631,279,618
60,430,59,425
56,71,55,70
42,274,41,271
1,202,0,199
13,809,12,791
173,289,172,286
185,23,184,22
244,381,243,377
150,293,149,290
7,497,6,488
178,317,177,313
97,222,96,219
117,268,116,265
264,655,263,642
42,588,41,578
87,367,86,363
256,127,255,124
292,661,291,648
246,665,245,652
274,845,273,826
188,692,187,678
18,86,17,85
193,407,192,403
144,709,143,695
90,1198,89,1156
48,609,47,596
22,128,21,125
311,432,310,427
8,22,7,21
276,188,275,185
222,173,221,170
72,866,71,843
299,134,298,131
1,171,0,168
165,216,164,213
181,121,180,118
200,11,199,10
234,626,233,613
244,707,243,693
90,25,89,24
208,216,207,213
263,96,262,95
134,323,133,319
279,586,278,576
2,292,1,289
49,302,48,299
286,153,285,150
22,80,21,79
234,318,233,314
268,147,267,144
274,405,273,401
7,492,6,483
16,55,15,54
290,161,289,158
92,515,91,506
239,1070,238,1040
56,449,55,440
248,234,247,231
308,187,307,184
276,64,275,63
122,509,121,500
295,739,294,725
263,568,262,558
295,39,294,38
201,1100,200,1065
159,1028,158,998
276,181,275,178
13,823,12,805
83,660,82,647
189,20,188,19
222,796,221,779
146,1022,145,992
125,80,124,79
43,120,42,117
77,518,76,509
291,686,290,672
236,57,235,56
156,661,155,648
232,52,231,51
168,866,167,843
37,288,36,285
235,230,234,227
90,506,89,497
186,566,185,556
44,660,43,647
118,774,117,760
7,661,6,648
42,1028,41,998
178,433,177,428
77,474,76,465
56,1047,55,1017
286,99,285,98
295,190,294,187
224,69,223,68
272,317,271,313
207,318,206,314
7,648,6,635
87,82,86,81
44,449,43,440
306,287,305,284
167,659,166,646
108,100,107,99
230,304,229,301
54,302,53,299
90,22,89,21
286,357,285,353
14,269,13,266
92,121,91,118
181,405,180,401
65,806,64,788
44,443,43,434
244,183,243,180
1,265,0,262
270,25,269,24
286,746,285,732
239,272,238,269
216,55,215,54
178,385,177,381
194,23,193,22
188,143,187,140
276,294,275,291
158,1098,157,1063
305,654,304,641
64,736,63,722
7,378,6,374
59,92,58,91
69,268,68,265
21,129,20,126
58,9,57,8
7,200,6,197
113,126,112,123
173,328,172,324
95,233,94,230
16,194,15,191
59,323,58,319
292,589,291,579
43,203,42,200
79,50,78,49
235,70,234,69
125,190,124,187
303,161,302,158
90,923,89,896
6,463,5,454
286,298,285,295
297,57,296,56
130,1217,129,1174
36,748,35,734
104,285,103,282
21,447,20,438
111,301,110,298
18,408,17,404
25,222,24,219
270,98,269,97
68,237,67,234
83,215,82,212
89,216,88,213
128,317,127,313
305,512,304,503
286,175,285,172
256,86,255,85
221,48,220,47
201,203,200,200
150,181,149,178
144,742,143,728
109,566,108,556
215,421,214,417
174,937,173,910
268,583,267,573
160,462,159,453
195,273,194,270
224,178,223,175
99,1016,98,986
2,251,1,248
292,9,291,8
72,568,71,558
83,281,82,278
287,926,286,899
222,53,221,52
24,64,23,63
196,393,195,389
56,91,55,90
256,761,255,747
226,56,225,55
279,741,278,727
16,8,15,7
203,93,202,92
145,56,144,55
288,305,287,302
313,117,312,114
148,1,147,0
197,347,196,343
21,164,20,161
239,491,238,482
185,287,184,284
297,89,296,88
303,68,302,67
239,194,238,191
197,511,196,502
280,1,279,0
60,162,59,159
198,258,197,255
239,513,238,504
233,375,232,371
85,642,84,629
201,518,200,509
296,228,295,225
279,725,278,711
13,72,12,71
208,663,207,650
230,172,229,169
62,182,61,179
65,125,64,122
174,660,173,647
90,12,89,11
283,432,282,427
311,98,310,97
195,751,194,737
130,105,129,102
286,73,285,72
56,222,55,219
210,204,209,201
239,9,238,8
96,87,95,86
84,121,83,118
275,265,274,262
291,1178,290,1137
70,399,69,395
311,9,310,8
301,523,300,514
152,685,151,671
244,172,243,169
53,281,52,278
244,790,243,773
26,125,25,122
24,191,23,188
13,181,12,178
2,50,1,49
313,566,312,556
144,125,143,122
188,443,187,434
276,324,275,320
72,234,71,231
83,385,82,381
109,402,108,398
185,216,184,213
14,213,13,210
57,79,56,78
230,963,229,935
176,875,175,852
253,97,252,96
284,269,283,266
106,526,105,517
291,418,290,414
84,1033,83,1003
194,187,193,184
283,845,282,826
297,275,296,272
78,255,77,252
11,425,10,420
308,59,307,58
193,1078,192,1047
87,585,86,575
8,50,7,49
186,148,185,145
312,692,311,678
175,127,174,124
7,644,6,631
276,419,275,415
83,210,82,207
313,616,312,603
279,168,278,165
276,474,275,465
62,59,61,58
83,97,82,96
63,100,62,99
16,178,15,175
90,945,89,918
42,98,41,97
303,393,302,389
274,50,273,49
94,792,93,775
184,98,183,97
248,589,247,579
200,892,199,869
296,222,295,219
196,381,195,377
72,196,71,193
256,472,255,463
128,182,127,179
286,85,285,84
172,220,171,217
308,516,307,507
308,436,307,431
220,298,219,295
21,324,20,320
285,269,284,266
210,70,209,69
199,221,198,218
297,25,296,24
276,78,275,77
299,847,298,828
1,47,0,46
164,281,163,278
96,673,95,660
291,1016,290,986
7,451,6,442
233,177,232,174
6,517,5,508
214,117,213,114
184,602,183,589
95,68,94,67
25,257,24,254
6,23,5,22
313,436,312,431
66,181,65,178
206,302,205,299
222,22,221,21
76,61,75,60
151,703,150,689
314,28,313,27
44,258,43,255
303,418,302,414
270,558,269,548
248,117,247,114
125,318,124,314
138,523,137,514
291,15,290,14
239,96,238,95
136,89,135,88
82,194,81,191
178,199,177,196
307,949,306,922
10,488,9,479
23,258,22,255
308,174,307,171
185,114,184,111
118,654,117,641
246,721,245,707
234,98,233,97
94,24,93,23
122,378,121,374
312,100,311,99
262,64,261,63
99,403,98,399
83,43,82,42
130,307,129,304
174,402,173,398
256,487,255,478
59,177,58,174
250,196,249,193
285,150,284,147
97,670,96,657
122,510,121,501
37,403,36,399
303,1098,302,1063
165,372,164,368
176,324,175,320
44,15,43,14
190,117,189,114
29,189,28,186
94,174,93,171
117,181,116,178
19,435,18,430
194,191,193,188
158,24,157,23
56,447,55,438
214,137,213,134
92,747,91,733
188,96,187,95
58,173,57,170
244,154,243,151
134,879,133,856
298,625,297,612
254,230,253,227
16,209,15,206
151,835,150,816
200,588,199,578
297,432,296,427
312,133,311,130
151,12,150,11
305,483,304,474
141,258,140,255
44,240,43,237
214,213,213,210
233,208,232,205
1,222,0,219
230,419,229,415
94,651,93,638
205,316,204,312
14,174,13,171
279,89,278,88
112,331,111,327
296,429,295,424
13,868,12,845
87,210,86,207
10,285,9,282
23,463,22,454
216,174,215,171
4,303,3,300
138,517,137,508
5,1,4,0
276,357,275,353
62,433,61,428
239,475,238,466
130,234,129,231
264,70,263,69
208,197,207,194
24,763,23,749
162,1019,161,989
160,160,159,157
172,580,171,570
54,676,53,663
210,97,209,96
164,930,163,903
109,1012,108,982
207,25,206,24
109,1,108,0
58,709,57,695
303,693,302,679
152,111,151,108
227,50,226,49
295,72,294,71
277,255,276,252
279,96,278,95
1,253,0,250
18,182,17,179
276,568,275,558
87,177,86,174
213,13,212,12
125,134,124,131
128,739,127,725
291,428,290,423
25,208,24,205
288,272,287,269
274,748,273,734
70,419,69,415
151,919,150,892
199,268,198,265
11,740,10,726
59,77,58,76
222,88,221,87
38,161,37,158
121,14,120,13
252,277,251,274
303,411,302,407
210,527,209,518
312,573,311,563
234,1397,233,1296
117,15,116,14
64,516,63,507
85,187,84,184
59,54,58,53
216,196,215,193
144,153,143,150
210,274,209,271
94,471,93,462
65,1142,64,1107
1,113,0,110
76,175,75,172
294,508,293,499
263,1451,262,1333
6,492,5,483
279,746,278,732
303,1109,302,1074
184,191,183,188
310,116,309,113
314,1150,313,1114
13,121,12,118
43,5,42,4
280,127,279,124
11,723,10,709
311,566,310,556
85,604,84,591
184,514,183,505
90,690,89,676
106,582,105,572
37,117,36,114
276,845,275,826
22,258,21,255
70,82,69,81
308,95,307,94
60,208,59,205
270,778,269,763
243,208,242,205
81,280,80,277
200,478,199,469
56,184,55,181
116,250,115,247
295,172,294,169
63,1007,62,977
295,235,294,232
156,641,155,628
160,430,159,425
237,191,236,188
45,109,44,106
272,1101,271,1066
184,86,183,85
285,151,284,148
72,28,71,27
271,187,270,184
94,211,93,208
246,425,245,420
115,8,114,7
95,1,94,0
147,904,146,880
151,58,150,57
105,268,104,265
34,312,33,309
72,427,71,422
263,416,262,412
94,1048,93,1018
45,118,44,115
279,144,278,141
145,22,144,21
71,89,70,88
182,69,181,68
193,627,192,614
214,302,213,299
151,485,150,476
195,328,194,324
109,258,108,255
282,288,281,285
23,381,22,377
252,300,251,297
151,372,150,368
282,327,281,323
304,237,303,234
64,160,63,157
28,79,27,78
265,471,264,462
18,113,17,110
83,82,82,81
90,499,89,490
234,1186,233,1144
87,196,86,193
150,129,149,126
161,98,160,97
70,210,69,207
222,1057,221,1027
92,176,91,173
204,216,203,213
164,685,163,671
184,207,183,204
92,180,91,177
43,204,42,201
222,1042,221,1012
197,300,196,297
271,705,270,691
73,657,72,644
90,187,89,184
270,671,269,658
6,478,5,469
207,1046,206,1016
85,83,84,82
158,770,157,756
297,588,296,578
90,507,89,498
271,482,270,473
267,17,266,16
194,647,193,634
1,227,0,224
170,292,169,289
60,1021,59,991
287,347,286,343
38,679,37,665
195,1014,194,984
279,227,278,224
84,748,83,734
316,98,315,97
25,25,24,24
168,274,167,271
103,24,102,23
299,588,298,578
287,294,286,291
234,582,233,572
87,9,86,8
49,47,48,46
296,855,295,835
44,95,43,94
318,474,317,465
269,13,268,12
222,1044,221,1014
82,455,81,446
42,685,41,671
145,1245,144,1200
313,99,312,98
308,848,307,829
145,448,144,439
118,475,117,466
130,316,129,312
142,82,141,81
119,718,118,704
99,50,98,49
306,14,305,13
227,295,226,292
59,1107,58,1072
311,716,310,702
262,553,261,543
16,56,15,55
293,132,292,129
62,132,61,129
94,346,93,342
13,59,12,58
240,313,239,310
291,7,290,6
312,28,311,27
31,484,30,475
291,70,290,69
56,172,55,169
109,588,108,578
59,429,58,424
65,196,64,193
308,741,307,727
301,660,300,647
214,1129,213,1094
158,241,157,238
224,191,223,188
215,423,214,419
32,1012,31,982
85,298,84,295
180,68,179,67
188,218,187,215
144,508,143,499
177,203,176,200
276,273,275,270
198,7,197,6
108,290,107,287
189,197,188,194
73,56,72,55
13,150,12,147
7,401,6,397
128,482,127,473
256,25,255,24
22,510,21,501
312,494,311,485
264,504,263,495
137,687,136,673
185,740,184,726
259,772,258,758
239,58,238,57
312,921,311,894
249,746,248,732
95,527,94,518
79,100,78,99
189,751,188,737
253,510,252,501
214,42,213,41
7,81,6,80
234,132,233,129
6,469,5,460
82,14,81,13
109,627,108,614
305,50,304,49
277,279,276,276
94,58,93,57
217,144,216,141
303,433,302,428
117,151,116,148
221,327,220,323
91,28,90,27
151,317,150,313
64,176,63,173
116,271,115,268
49,547,48,537
307,1022,306,992
303,176,302,173
286,154,285,151
291,501,290,492
235,87,234,86
276,157,275,154
7,576,6,566
250,404,249,400
25,258,24,255
18,496,17,487
263,510,262,501
314,535,313,526
250,338,249,334
95,172,94,169
94,470,93,461
59,583,58,573
277,282,276,279
303,1286,302,1231
210,357,209,353
185,199,184,196
235,480,234,471
308,163,307,160
298,252,297,249
44,208,43,205
315,13,314,12
215,197,214,194
269,9,268,8
42,195,41,192
246,68,245,67
101,405,100,401
249,88,248,87
60,525,59,516
271,750,270,736
92,731,91,717
311,203,310,200
263,197,262,194
138,496,137,487
209,251,208,248
217,7,216,6
261,340,260,336
176,258,175,255
81,169,80,166
62,114,61,111
72,530,71,521
49,7,48,6
9,298,8,295
92,528,91,519
249,708,248,694
196,655,195,642
276,226,275,223
134,313,133,310
247,736,246,722
311,83,310,82
251,1014,250,984
227,411,226,407
59,550,58,540
58,100,57,99
249,723,248,709
286,1316,285,1253
7,228,6,225
160,56,159,55
103,127,102,124
87,2,86,1
291,732,290,718
49,334,48,330
222,1284,221,1229
59,215,58,212
177,209,176,206
151,1298,150,1240
29,332,28,328
30,435,29,430
315,185,314,182
23,172,22,169
321,496,320,487
106,778,105,763
7,151,6,148
84,12,83,11
94,168,93,165
239,529,238,520
90,657,89,644
261,875,260,852
190,302,189,299
112,289,111,286
199,258,198,255
301,202,300,199
294,127,293,124
267,840,266,821
5,211,4,208
160,117,159,114
6,357,5,353
297,736,296,722
250,244,249,241
58,268,57,265
301,1228,300,1185
137,300,136,297
164,117,163,114
286,34,285,33
232,197,231,194
150,221,149,218
1,90,0,89
189,1005,188,975
36,307,35,304
151,89,150,88
248,475,247,466
213,609,212,596
203,181,202,178
269,47,268,46
297,307,296,304
305,189,304,186
74,272,73,269
127,294,126,291
194,4,193,3
177,56,176,55
57,28,56,27
239,187,238,184
131,1281,130,1226
270,97,269,96
159,127,158,124
230,202,229,199
92,219,91,216
318,356,317,352
267,403,266,399
5,382,4,378
180,762,179,748
319,313,318,310
270,736,269,722
293,496,292,487
269,793,268,776
21,98,20,97
303,209,302,206
13,766,12,752
314,95,313,94
151,387,150,383
230,378,229,374
95,1206,94,1164
270,370,269,366
256,716,255,702
303,435,302,430
62,258,61,255
189,1115,188,1080
77,195,76,192
99,742,98,728
83,338,82,334
262,179,261,176
253,216,252,213
108,50,107,49
94,347,93,343
201,1245,200,1200
271,111,270,108
18,387,17,383
207,4,206,3
313,96,312,95
215,144,214,141
279,1376,278,1281
296,248,295,245
270,83,269,82
210,161,209,158
201,79,200,78
184,181,183,178
185,269,184,266
276,550,275,540
216,69,215,68
147,292,146,289
291,250,290,247
291,471,290,462
308,559,307,549
87,211,86,208
97,89,96,88
178,209,177,206
186,470,185,461
299,615,298,602
10,504,9,495
110,682,109,668
207,87,206,86
148,114,147,111
94,9,93,8
60,222,59,219
244,409,243,405
276,246,275,243
234,20,233,19
106,107,105,104
216,697,215,683
140,268,139,265
220,303,219,300
67,64,66,63
230,142,229,139
299,641,298,628
7,581,6,571
44,250,43,247
291,214,290,211
11,741,10,727
57,204,56,201
314,417,313,413
201,197,200,194
194,792,193,775
316,306,315,303
280,781,279,766
13,14,12,13
211,127,210,124
306,242,305,239
64,684,63,670
198,135,197,132
232,91,231,90
98,47,97,46
7,106,6,103
12,300,11,297
239,10,238,9
238,111,237,108
130,267,129,264
90,662,89,649
40,268,39,265
42,185,41,182
291,578,290,568
148,70,147,69
305,187,304,184
184,71,183,70
158,1011,157,981
7,528,6,519
174,237,173,234
158,190,157,187
201,853,200,833
278,311,277,308
275,520,274,511
62,1073,61,1043
230,234,229,231
73,357,72,353
4,361,3,357
64,778,63,763
244,89,243,88
7,643,6,630
295,704,294,690
272,48,271,47
269,285,268,282
244,380,243,376
57,1047,56,1017
145,591,144,581
52,95,51,94
145,260,144,257
208,202,207,199
160,187,159,184
141,274,140,271
260,990,259,960
177,299,176,296
223,969,222,941
286,709,285,695
99,181,98,178
90,425,89,420
43,151,42,148
10,289,9,286
197,515,196,506
62,24,61,23
323,223,322,220
54,298,53,295
295,47,294,46
311,385,310,381
287,257,286,254
290,82,289,81
262,96,261,95
279,491,278,482
145,393,144,389
305,61,304,60
269,156,268,153
276,180,275,177
323,298,322,295
296,258,295,255
18,965,17,937
72,528,71,519
125,239,124,236
244,652,243,639
138,211,137,208
221,1059,220,1029
42,69,41,68
10,340,9,336
60,604,59,591
63,50,62,49
311,172,310,169
7,582,6,572
7,127,6,124
204,340,203,336
13,493,12,484
186,281,185,278
6,275,5,272
259,959,258,931
5,62,4,61
286,258,285,255
303,65,302,64
295,73,294,72
184,100,183,99
1,64,0,63
312,641,311,628
239,478,238,469
142,181,141,178
296,242,295,239
69,174,68,171
195,265,194,262
121,509,120,500
7,196,6,193
180,431,179,426
44,120,43,117
318,257,317,254
320,117,319,114
256,939,255,912
310,24,309,23
43,52,42,51
91,427,90,422
318,631,317,618
97,482,96,473
174,160,173,157
7,44,6,43
158,85,157,84
256,765,255,751
221,69,220,68
196,67,195,66
232,175,231,172
159,685,158,671
99,182,98,179
175,71,174,70
326,22,325,21
270,53,269,52
162,181,161,178
320,177,319,174
210,380,209,376
151,969,150,941
42,684,41,670
234,705,233,691
270,466,269,457
56,797,55,780
305,923,304,896
173,286,172,283
67,1095,66,1061
213,12,212,11
36,883,35,860
131,100,130,99
308,298,307,295
14,709,13,695
284,305,283,302
52,1086,51,1053
305,529,304,520
223,318,222,314
22,79,21,78
137,546,136,536
249,11,248,10
269,616,268,603
197,294,196,291
42,603,41,590
193,435,192,430
7,559,6,549
115,127,114,124
59,433,58,428
217,22,216,21
279,709,278,695
257,345,256,341
279,789,278,772
178,73,177,72
90,1194,89,1152
111,313,110,310
13,848,12,829
94,625,93,612
59,496,58,487
179,905,178,881
303,302,302,299
299,516,298,507
10,505,9,496
62,464,61,455
56,69,55,68
13,144,12,141
236,313,235,310
310,536,309,527
314,692,313,678
224,215,223,212
292,195,291,192
16,191,15,188
99,597,98,586
234,482,233,473
66,249,65,246
301,174,300,171
92,1142,91,1107
99,410,98,406
97,98,96,97
313,673,312,660
58,109,57,106
270,781,269,766
189,1,188,0
234,50,233,49
294,222,293,219
7,241,6,238
131,750,130,736
296,48,295,47
81,3,80,2
151,186,150,183
234,134,233,131
53,174,52,171
280,544,279,535
123,135,122,132
96,479,95,470
236,286,235,283
201,313,200,310
174,471,173,462
151,15,150,14
90,529,89,520
59,12,58,11
310,845,309,826
4,357,3,353
25,615,24,602
59,170,58,167
147,305,146,302
314,1518,313,1381
256,413,255,409
272,127,271,124
104,269,103,266
97,50,96,49
14,530,13,521
23,170,22,167
13,97,12,96
165,325,164,321
244,7,243,6
95,416,94,412
28,98,27,97
298,8,297,7
151,210,150,207
77,238,76,235
200,241,199,238
201,405,200,401
291,226,290,223
113,326,112,322
313,191,312,188
207,531,206,522
214,151,213,148
44,123,43,120
18,154,17,151
297,628,296,615
7,28,6,27
115,92,114,91
308,581,307,571
41,28,40,27
287,249,286,246
117,50,116,49
221,204,220,201
318,659,317,646
262,11,261,10
154,488,153,479
186,385,185,381
198,179,197,176
99,168,98,165
126,262,125,259
72,226,71,223
109,31,108,30
34,242,33,239
173,323,172,319
122,215,121,212
208,88,207,87
295,483,294,474
43,64,42,63
89,197,88,194
308,435,307,430
315,305,314,302
42,1041,41,1011
164,299,163,296
7,153,6,150
70,50,69,49
130,366,129,362
158,414,157,410
279,42,278,41
210,58,209,57
43,66,42,65
151,490,150,481
194,663,193,650
311,180,310,177
198,214,197,211
82,661,81,648
267,238,266,235
291,466,290,457
60,47,59,46
92,79,91,78
97,115,96,112
314,1218,313,1175
15,685,14,671
99,204,98,201
123,192,122,189
47,340,46,336
222,135,221,132
58,284,57,281
320,294,319,291
268,135,267,132
287,11,286,10
305,186,304,183
6,221,5,218
85,647,84,634
128,736,127,722
249,124,248,121
21,184,20,181
286,628,285,615
145,183,144,180
311,28,310,27
25,228,24,225
76,92,75,91
235,647,234,634
286,133,285,130
48,174,47,171
5,24,4,23
85,272,84,269
286,7,285,6
151,429,150,424
191,301,190,298
287,56,286,55
96,153,95,150
93,15,92,14
84,528,83,519
13,167,12,164
178,234,177,231
128,418,127,414
195,496,194,487
13,570,12,560
276,843,275,824
54,268,53,265
14,474,13,465
18,58,17,57
289,849,288,830
11,746,10,732
298,842,297,823
56,215,55,212
38,465,37,456
214,652,213,639
7,420,6,416
61,328,60,324
303,182,302,179
145,13,144,12
50,253,49,250
194,530,193,521
222,157,221,154
7,188,6,185
109,100,108,99
90,631,89,618
13,685,12,671
82,73,81,72
235,1149,234,1113
200,665,199,652
145,50,144,49
213,48,212,47
244,216,243,213
85,175,84,172
137,237,136,234
151,162,150,159
187,116,186,113
49,741,48,727
291,54,290,53
316,292,315,289
271,514,270,505
277,1197,276,1155
253,50,252,49
311,662,310,649
246,816,245,798
59,287,58,284
268,83,267,82
145,299,144,296
327,191,326,188
297,286,296,283
295,151,294,148
275,176,274,173
48,259,47,256
235,419,234,415
147,258,146,255
92,521,91,512
43,284,42,281
201,587,200,577
286,689,285,675
69,12,68,11
237,494,236,485
85,133,84,130
311,366,310,362
114,175,113,172
42,121,41,118
7,680,6,666
154,302,153,299
106,660,105,647
313,71,312,70
90,526,89,517
94,186,93,183
151,480,150,471
311,505,310,496
320,202,319,199
259,750,258,736
78,412,77,408
85,98,84,97
288,127,287,124
25,729,24,715
119,213,118,210
315,657,314,644
195,387,194,383
95,174,94,171
130,332,129,328
233,482,232,473
44,530,43,521
292,86,291,85
251,144,250,141
269,923,268,896
178,148,177,145
138,121,137,118
30,82,29,81
34,690,33,676
292,276,291,273
271,11,270,10
311,568,310,558
183,241,182,238
288,196,287,193
268,42,267,41
308,634,307,621
271,211,270,208
16,144,15,141
90,603,89,590
209,408,208,404
299,238,298,235
279,1228,278,1185
128,140,127,137
307,173,306,170
291,159,290,156
10,489,9,480
10,657,9,644
59,855,58,835
124,11,123,10
7,133,6,130
256,692,255,678
318,476,317,467
307,258,306,255
28,7,27,6
236,729,235,715
7,93,6,92
154,175,153,172
311,403,310,399
221,508,220,499
305,203,304,200
207,508,206,499
130,161,129,158
328,9,327,8
293,293,292,290
162,742,161,728
128,79,127,78
307,1411,306,1308
269,514,268,505
327,533,326,524
95,143,94,140
94,157,93,154
256,819,255,801
222,153,221,150
207,98,206,97
222,298,221,295
286,151,285,148
7,174,6,171
148,495,147,486
311,495,310,486
178,255,177,252
123,847,122,828
291,77,290,76
237,528,236,519
290,222,289,219
177,79,176,78
65,202,64,199
311,181,310,178
77,168,76,165
58,960,57,932
117,405,116,401
248,127,247,124
5,423,4,419
289,7,288,6
99,508,98,499
275,523,274,514
28,380,27,376
198,651,197,638
221,268,220,265
267,739,266,725
301,496,300,487
318,64,317,63
298,477,297,468
16,942,15,915
178,125,177,122
320,284,319,281
138,151,137,148
215,157,214,154
94,1119,93,1084
79,246,78,243
279,1492,278,1363
189,30,188,29
233,806,232,788
222,172,221,169
276,301,275,298
57,409,56,405
125,173,124,170
128,143,127,140
236,506,235,497
90,958,89,930
197,176,196,173
277,273,276,270
99,546,98,536
326,186,325,183
59,663,58,650
59,702,58,688
26,15,25,14
7,182,6,179
276,11,275,10
222,210,221,207
287,92,286,91
106,703,105,689
276,1218,275,1175
230,210,229,207
246,184,245,181
22,511,21,502
165,258,164,255
109,89,108,88
195,181,194,178
7,193,6,190
326,480,325,471
85,58,84,57
186,588,185,578
256,280,255,277
84,529,83,520
194,770,193,756
267,114,266,111
